id,platform,trend,caption,source_title,source_url,asset_url,asset_kind,visual_mechanism,sa_boo_translation,prompt_tags,recommended_use,rights_note,accessed
canva-reality-warp,Canva,Reality Warp,"AI-generated surreal editorial, liminal and uncanny synthetic era visuals",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=reality-warp,source_page_reference,"AI-generated surreal editorial, liminal and uncanny synthetic era visuals",克制梦核奢华、真实与超现实混合、适合品牌概念探索,liminal; uncanny; surreal editorial; dreamlike distortion; impossible reflection,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-prompt-playground,Canva,Prompt Playground,"Retro-tech UI, spreadsheets, code fragments and vibe-coding aesthetics",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=prompt-playground,source_page_reference,"Retro-tech UI, spreadsheets, code fragments and vibe-coding aesthetics",复古UI与AI实验视觉，适合AI工具内容和设计教育封面,retro computer interface; spreadsheet grid; dropdown; code snippets; lo-fi UI,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-explorecore,Canva,Explorecore,"Calm discovery, simple layouts, serif fonts and slow exploration",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=explorecore,source_page_reference,"Calm discovery, simple layouts, serif fonts and slow exploration",安静编辑感、知识型内容、提案章节页,clean serif; editorial layout; open margins; field notes; calm discovery,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-texture-check,Canva,Texture Check,"Glassy, translucent, waxy, tactile hyper-real material surfaces",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=texture-check,source_page_reference,"Glassy, translucent, waxy, tactile hyper-real material surfaces",材质优先的高级感，适合产品KV和空间情绪图,tactile texture; glassy translucent; waxy; frosted acrylic; material macro,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-notes-app-chic,Canva,Notes App Chic,"Camera roll, notes, scrapbook, unfinished charming collage",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=notes-app-chic,source_page_reference,"Camera roll, notes, scrapbook, unfinished charming collage",Bonnie个人IP幕后感，小红书真实内容封面,camera roll collage; notes fragments; torn paper; charming imperfection,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-opt-out-era,Canva,Opt-Out Era,"Paired-back palette, serif, structured editorial layouts, anti-cute",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=opt-out-era,source_page_reference,"Paired-back palette, serif, structured editorial layouts, anti-cute",低噪音高级权威感，适合低奢品牌和提案封面,restrained palette; serif typography; editorial grid; negative space,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-drama-club,Canva,Drama Club,"Cinematic stills, stage curtains, dramatic spotlight, bold typography",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=drama-club,source_page_reference,"Cinematic stills, stage curtains, dramatic spotlight, bold typography",高戏剧张力封面、发布KV、提案开场,dramatic spotlight; velvet curtain; cinematic still; high contrast,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-grannywave,Canva,GrannyWave,"Heritage crafts, handloom patterns, saturated festival palettes, layered nostalgia",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=grannywave,source_page_reference,"Heritage crafts, handloom patterns, saturated festival palettes, layered nostalgia",现代手工艺复兴，东西方装饰语言,handloom; heritage craft; folk pattern; saturated festival palette,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-zinegeist,Canva,Zinegeist,"DIY zine, anti-gloss paper, messy collage, oversized type",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=zinegeist,source_page_reference,"DIY zine, anti-gloss paper, messy collage, oversized type",观点型内容、年轻化反精致视觉,photocopy grain; zine collage; brutal typography; torn edges,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
canva-block-party,Canva,Block Party,"Local symbols, vintage hues, folklore and warm everyday nostalgia",Imperfect by Design: Canva 2026 Design Trends,https://www.canva.com/newsroom/news/design-trends-2026/,https://www.canva.com/design-trends/?trendId=block-party,source_page_reference,"Local symbols, vintage hues, folklore and warm everyday nostalgia",社区/地域叙事、品牌温度、地方文化转译,local symbol; vintage hue; folklore; warm nostalgia; street festival,trend research; prompt direction; moodboard reference,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
adobe-multisensory,Adobe,Visuals That Engage the Senses,Image of colorful sheets hanging from the sky with clouds in the background.,Adobe 2026 Creative Trends forecast,https://business.adobe.com/resources/creative-trends-report.html,https://business.adobe.com/resources/media_139dcb3177b6c27e93fcaf3926059b4dffcddc18b.png?width=750&format=png&optimize=medium,remote_image_reference,"Multisensory visuals: texture, taste, sound implied through depth and detail",材质、触觉、感官化高级视觉；强化Texture Check和产品/空间材质prompt,multisensory; tactile; texture; depth; sensory detail; macro material,moodboard; prompt reference; brand visual direction,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
adobe-connectioneering,Adobe,Images That Stir Emotions and Spark Connection,Adobe emotional connection visual reference,Adobe 2026 Creative Trends forecast,https://business.adobe.com/resources/creative-trends-report.html,https://business.adobe.com/resources/media_13bb12662a5479456d9c10e6901d7ed58b2acf15b.png?width=750&format=png&optimize=medium,remote_image_reference,"Emotional connection through shared joy, affection and crafted moments",适合品牌故事、空间情绪、客户共鸣型提案视觉,emotional connection; shared joy; cinematic payoff; human moment,moodboard; prompt reference; brand visual direction,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
adobe-delightfully-unhinged,Adobe,Delightfully Unhinged Design,Adobe surreal playful AI visual reference,Adobe 2026 Creative Trends forecast,https://business.adobe.com/resources/creative-trends-report.html,https://business.adobe.com/resources/media_16067e5f85c8fc3f80a971e8b6257e007ccd3d9e5.png?width=750&format=png&optimize=medium,remote_image_reference,"Surreal humor, playful impossibility, strange but magnetic AI-assisted visuals",受控荒诞、超现实品牌概念、Reality Warp变体,surreal silliness; playful impossibility; controlled absurdity; AI imagination,moodboard; prompt reference; brand visual direction,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
adobe-local-authenticity,Adobe,A Taste of Authenticity from Around the World,Adobe local authenticity visual reference,Adobe 2026 Creative Trends forecast,https://business.adobe.com/resources/creative-trends-report.html,https://business.adobe.com/resources/media_157fa2ef480c3f1defd7a6795c810e1fd72abdc82.png?width=750&format=png&optimize=medium,remote_image_reference,"Regional craft, local culture, community voice and authentic representation",地域文化转译、东西方工艺、真实生活与品牌温度,local authenticity; regional craft; community; cultural specificity,moodboard; prompt reference; brand visual direction,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-web-hero,Figma,Top Web Design Trends for 2026,Figma web design trends hero image,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/9dce4c76f0f9c93e0ca8a3c46aaab09b115f7ab7-1440x720.png?w=1440&h=720&q=75&fit=max&auto=format,remote_image_reference,Website trend overview: modern digital experiences,官网/提案/视觉系统总览参考,web design; digital experience; modern layout,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-3d-immersive,Figma,3D and immersive elements,3D and immersive web design homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/7e4c102c16aacfe7eb8bf36c96698658289736c8-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Depth, WebGL-like interaction, 3D product/spatial hero",3D沉浸式官网Hero、空间/产品服务可视化,3D immersive; WebGL depth; interactive product; spatial hero,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
figma-experimental-navigation,Figma,Experimental navigation,Experimental navigation web design homepage example,Top Web Design Trends for 2026,https://www.figma.com/resource-library/web-design-trends/,https://cdn.sanity.io/images/599r6htc/regionalized/5c7f99f6cf5cfbc9f9f79c940ad8a70401368a01-2880x1820.png?w=2880&h=1820&q=75&fit=max&auto=format,remote_image_reference,"Radial menus, hidden drawers, nonlinear journeys, interactive maps",探索型官网、品牌故事、设计服务流程页面,experimental navigation; radial menu; nonlinear journey; interactive map,Figma layout; web hero; prompt reference; moodboard,Reference only. Do not redistribute as owned asset; open source page and follow original platform terms.,2026-06-22
