name,folder,skill_md,file_count,description
ads-explorer,ads-explorer,codex_visual_stack/skills/ads-explorer/SKILL.md,3,"Explore a supplied product, service, venue, or offer across a diverse 25-family image-ad prompt library. Use when the user wants Ads Explorer, ad directions, image ad prompts, paid social ideas, broad campaign ad exploration, or a review wall before final production."
autocad-drafting,autocad-drafting,codex_visual_stack/skills/autocad-drafting/SKILL.md,3,>
cadq,cadq,codex_visual_stack/skills/cadq/SKILL.md,4,"Query DWG/DXF CAD drawings semantically from Copilot Chat using the cadq CLI and MCP server. USE WHEN the user asks spatial or semantic questions about a CAD drawing — ""highest point"", ""where is the driveway"", ""how big is the lawn or garden"", ""boundary of the building"", ""how many trees"", ""what's nea"
documents,documents,codex_visual_stack/skills/documents/SKILL.md,75,"Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the fi"
explore,explore,codex_visual_stack/skills/explore/SKILL.md,2,"Use when a broad business creative brief needs the Creative Production Explore front door: a compact chooser for Positioning, Mood boards, Scenes, Offers, Ads, Shots, Logos, or active production Assets."
figma-code-connect,figma-code-connect,codex_visual_stack/skills/figma-code-connect/SKILL.md,3,"Creates and maintains Figma Code Connect template files that map Figma components to code snippets. Use when the user mentions Code Connect, Figma component mapping, design-to-code translation, or asks to create/update .figma.ts or .figma.js files."
figma-create-new-file,figma-create-new-file,codex_visual_stack/skills/figma-create-new-file/SKILL.md,1,"**MANDATORY prerequisite** — you MUST invoke this skill BEFORE every `create_new_file` tool call. NEVER call `create_new_file` directly without loading this skill first. Trigger whenever the user wants a new blank Figma file — a new design, FigJam, or Slides file — or when you need a fresh file befo"
figma-generate-design,figma-generate-design,codex_visual_stack/skills/figma-generate-design/SKILL.md,1,"Use this skill alongside figma-use when the task involves translating an application page, view, or multi-section layout into Figma. Triggers: 'write to Figma', 'create in Figma from code', 'push page to Figma', 'take this app/page and build it in Figma', 'create a screen', 'build a landing page in "
figma-generate-diagram,figma-generate-diagram,codex_visual_stack/skills/figma-generate-diagram/SKILL.md,8,"MANDATORY prerequisite — load this skill BEFORE every `generate_diagram` tool call. NEVER call `generate_diagram` directly without loading this skill first. Trigger whenever the user asks to create, generate, draw, render, sketch, or build a diagram — flowchart, architecture diagram, sequence diagra"
figma-generate-library,figma-generate-library,codex_visual_stack/skills/figma-generate-library/SKILL.md,17,"Build or update a professional-grade design system in Figma from a codebase. Use when the user wants to create variables/tokens, build component libraries, create individual components with proper variant sets and variable bindings, set up theming (light/dark modes), document foundations, or reconci"
figma-use,figma-use,codex_visual_stack/skills/figma-use/SKILL.md,21,"**MANDATORY prerequisite** — you MUST invoke this skill BEFORE every `use_figma` tool call. NEVER call `use_figma` directly without loading this skill first. Skipping it causes common, hard-to-debug failures. Trigger whenever the user wants to perform a write action or a unique read action that requ"
figma-use-figjam,figma-use-figjam,codex_visual_stack/skills/figma-use-figjam/SKILL.md,14,This skill helps agents use Figma's use_figma MCP tool in the FigJam context. Can be used alongside figma-use which has foundational context for using the use_figma tool.
figma-use-slides,figma-use-slides,codex_visual_stack/skills/figma-use-slides/SKILL.md,7,This skill helps agents use Figma's use_figma MCP tool in the Slides context. Can be used alongside figma-use which has foundational context for using the use_figma tool.
generative-polish,generative-polish,codex_visual_stack/skills/generative-polish/SKILL.md,2,Create publish-safe generative polish for business visuals. Use when the user
imagegen,imagegen,codex_visual_stack/skills/imagegen/SKILL.md,11,"Generate or edit raster images when the task benefits from AI-created bitmap visuals such as photos, illustrations, textures, sprites, mockups, or transparent-background cutouts. Use when Codex should create a brand-new image, transform an existing image, or derive visual variants from references, a"
interior-layout-optimizer,interior-layout-optimizer,codex_visual_stack/skills/interior-layout-optimizer/SKILL.md,7,"Residential interior floor-plan layout optimization with CAD/MCP accuracy gates and SABOO SC071 asset-library vector retrieval. Use when Codex needs to critique, optimize, redraw, compare, or propose apartment/flat/duplex/villa layouts; audit DWG/DXF/PDF/image plans; use cadq, AutoCAD MCP, CAD↔Sketc"
logo-explorer,logo-explorer,codex_visual_stack/skills/logo-explorer/SKILL.md,7,"Use when a brand brief needs identity concepts, wordmarks, lockups, identity-system routes, or a logo review board before vector production or final brand polish."
moodboard-explorer,moodboard-explorer,codex_visual_stack/skills/moodboard-explorer/SKILL.md,15,"Use when a user asks Creative Production to generate several concept images, image options, visual directions, mood boards, visual territories, audience feel, campaign references, or brand direction before mood-board remixing, asset production, or polish."
offer-explorer,offer-explorer,codex_visual_stack/skills/offer-explorer/SKILL.md,4,"Use when a product, digital product, service, venue, experience, or campaign brief needs 25-family offer-led prompt exploration, contact sheets, review galleries, or coverage checks before remix, asset production, or polish."
pdf,pdf,codex_visual_stack/skills/pdf/SKILL.md,2,"Read, create, inspect, render, and verify PDF files where visual layout matters. Use Poppler rendering plus Python tools such as reportlab, pdfplumber, and pypdf for generation and extraction."
positioning-explorer,positioning-explorer,codex_visual_stack/skills/positioning-explorer/SKILL.md,2,"Explore commercially useful positioning routes before visual generation. Use when the user needs to clarify audience, occasion, growth goal, proof, or market angle before mood boards, scenes, business assets, ads, menus, cards, one-pagers, listings, or social posts."
